fid,date,confirmation,x,y
1,2021/08/19 10:40:19,Yes,28.2435854733891,-25.7500399724759
2,2021/08/19 10:42:03,Yes,28.2443277274342,-25.7499830144836
3,2021/08/19 10:43:59,Yes,28.243512420601,-25.7501119294865
4,2021/08/19 10:47:52,Yes,28.2443102118629,-25.7499881118128
5,2021/08/19 10:43:52,Yes,28.2433692,-25.7499763
6,2021/08/19 10:47:50,Yes,28.2443662639707,-25.7500365190208
7,2021/08/19 10:01:45,Yes,28.2360946994123,-25.7577215630737
8,2021/08/19 10:46:29,Yes,28.2377220145072,-25.7550962739962
9,2021/08/19 11:40:06,Yes,28.23568482,-25.75197849
10,2021/08/19 12:03:34,Yes,28.2353566594172,-25.7507505736601
11,2021/08/19 10:25:22,Yes,28.234758997162,-25.766469808817
12,2021/08/19 09:55:55,Yes,28.2325043745114,-25.7490356126009
13,2021/08/19 09:56:23,Yes,28.2325244994157,-25.7490530434835
14,2021/08/19 09:59:17,Yes,28.2325162728366,-25.7487647061249
15,2021/08/24 09:38:48,Yes,28.24019252,-25.74865552
16,2021/08/24 09:49:16,Yes,28.24438064,-25.74839666
17,2021/08/24 09:52:33,Yes,28.24470342,-25.74836108
18,2021/08/24 09:27:55,Yes,28.2401605337098,-25.7487051276389
19,2021/08/24 09:49:21,Yes,28.2446606653229,-25.748376029476
20,2021/08/24 09:48:48,Yes,28.2443891400161,-25.7483870233017
21,2021/08/24 10:07:45,Yes,28.2403077632237,-25.7472298481601
22,2021/08/24 09:46:47,Yes,28.244063584334,-25.7485968743521
23,2021/08/24 09:09:03,Yes,28.2324951544708,-25.7492617436996
24,2021/08/24 09:11:18,Yes,28.2324717215101,-25.7487248310713
25,2021/08/24 09:07:21,Yes,28.2325902522932,-25.7499102691683
26,2021/08/24 09:53:09,Yes,28.2294105546204,-25.7495466173414
27,2021/08/24 09:58:39,Yes,28.2320349162071,-25.7488147591359
28,2021/08/24 09:14:49,Yes,28.232327772291,-25.7473662574403
29,2021/08/24 09:49:38,Yes,28.2280784532452,-25.7495308017034
30,2021/08/19 00:00:00,(yes),28.23386,-25.757572