fid,name,date,x,y
1,OmBooks,2021-08-19 10:13:28,28.24094,-25.7533
2,Coffee at the link,2021-08-19 10:15:41,28.24058,-25.7533
3,Brother takeaways,2021-08-19 10:18:03,28.24018,-25.753
4,Bravo's,2021-08-19 10:14:57,28.24092,-25.7531
5,The Turkish Table,2021-08-19 11:09:39,28.24084,-25.7516
6,Brooks Cafe,2021-08-19 10:03:39,28.2367,-25.7625
7,Fire hydrant 6,2021-08-19 10:43:17,28.23652,-25.7549
8,SQUARE 2.0,2021-08-19 11:39:00,28.23542,-25.7522
9,Ocean Basket,2021-08-19 11:57:08,28.23746,-25.7507
10,Africa restaurant and bar,2021-08-19 11:58:11,28.23732,-25.7506
11,Roman's Pizza,2021-08-19 11:59:08,28.237,-25.7506
12,Khaya,2021-08-19 12:00:02,28.23643,-25.7506
13,The social club,2021-08-19 12:00:31,28.23628,-25.7506
14,Fish and chips co,2021-08-19 12:00:58,28.23621,-25.7507
15,Pizza hut,2021-08-19 12:01:22,28.23592,-25.7507
16,McDonald's,2021-08-19 12:01:31,28.23587,-25.7506
17,Nando's,2021-08-19 12:02:35,28.23551,-25.7506
18,Fire hydrant 22,2021-08-19 12:05:25,28.23529,-25.7513
19,Aandklas,2021-08-19 12:06:20,28.23538,-25.7516
20,Spur,2021-08-19 11:01:33,28.23497,-25.7505
21,Mochachos,2021-08-19 10:59:42,28.23536,-25.7504
22,TuksRes Cafe,2021-08-24 09:49:28,28.23329,-25.7544
23,Coffee Buzz,2021-08-24 10:06:06,28.23145,-25.754
24,Pizza Foods,2021-08-24 10:06:31,28.23171,-25.7541
25,KFC,2021-08-19 11:04:46,28.23422,-25.7505
26,Campus Halal,2021-08-24 10:07:13,28.23181,-25.7544
27,Hana,2021-08-19 11:21:05,28.23476,-25.7494
28,Wimpy,2021-08-19 10:54:53,28.23609,-25.7503
29,Humphries,2021-08-19 10:56:04,28.23594,-25.7504
30,Chicken licken,2021-08-19 10:56:32,28.23577,-25.7504
31,Steers,2021-08-19 10:59:11,28.2355,-25.7504
32,Panarottis,2021-08-19 11:02:39,28.23482,-25.7505
33,Burger King,2021-08-19 11:02:59,28.23471,-25.7505
34,Kauai,2021-08-19 11:08:10,28.23378,-25.7506
35,Uncle faouzi,2021-08-19 10:56:53,28.23572,-25.7504
36,Debonairs,2021-08-19 10:58:48,28.23564,-25.7504
37,Boujee Shisanyama,2021-08-19 11:37:40,28.23401,-25.7479
38,Blue Room,2021-08-19 11:39:03,28.23345,-25.748
39,My place fast food,2021-08-19 11:23:26,28.2352,-25.7503
40,Seatle Coffee,2021-08-24 09:45:53,28.24357,-25.7486
41,Haloa Coffee,2021-08-24 10:03:06,28.22876,-25.7532
42,Monastry Hall,2021-08-24 09:12:51,28.23322,-25.7545
43,Springbok Bar,2021-08-24 09:26:53,28.23506,-25.7518
44,King Fu Kitchen,2021-08-24 09:28:49,28.23501,-25.7516
45,Kahve,2021-08-24 10:03:28,28.22864,-25.7537
46,Artisan coffee bar &resturant,2021-08-24 10:04:03,28.22899,-25.7542
47,Coffee bar and kiosk,2021-08-24 10:23:09,28.23289,-25.7557
48,Torpedos,2021-08-24 10:07:53,28.2331,-25.7548
49,Big Al's,2021-08-24 10:07:31,28.23181,-25.7544
50,Lucky bread company,2021-08-24 10:06:51,28.23171,-25.7541
51,Vida e caffe,2021-08-24 09:44:30,28.23557,-25.7565
52,ADLER'S Restaurant,2021-08-24 09:45:43,28.23407,-25.7554
53,News Cafe,2021-08-19T10:51:59.000,28.2372943509584,-25.7500301595557